,Candidate Name,Candidate ID,Candidate Category
0,Ram Swaroop Sharma,0,0
1,Aashray Sharma,0,0
2,Guman Singh,0,0
3,Daleep Singh Kaith,0,0
4,Ses Ram,0,0
5,Subhash Mohan Snehi,0,0
6,Brij Gopal,0,0
7,Rajender Suryavanshi,0,0
8,Dev Raj Bhardwaj,0,0
9,Dharmender Singh Thakur,0,0
10,Col. Thakur Singh,0,0
11,Kartar Chand,0,0
12,Shiv Lal Thakur,0,0
13,Khem Chand,0,0
14,Mehar Singh,0,0
15,Ghanshyam Chand Thakur,0,0
16,Chandermani,0,0
17,0,0,0
18,0,0,0
